Id,SalePrice
2658,93514.74482916697
2718,150767.77037371308
2414,219525.10907857926
1989,107478.53541487988
625,177091.97819548097
333,88570.38042805206
1327,105671.36452411673
858,162271.64283935842
95,173284.86093612082
1568,160179.89809836692
2482,161710.78103953466
1364,112331.15803398621
2584,133782.11766614584
818,304079.0600180303
2673,140364.08601847576
2089,119253.98030002529
1297,145250.95028476452
790,110566.24217629038
2616,217136.27470985585
720,165601.51267149288
222,150323.21244970098
557,128356.36081176593
1148,190633.9768634874
2766,173122.8571001062
534,170518.30089471745
1452,118436.62421837583
630,121558.60440821359
2648,103908.35653703674
125,172985.68756555117
1904,76096.91242535302
1670,122077.66825133798
756,93149.53303498922
717,203529.65304707986
1032,149578.2568199012
852,215227.34642109947
1731,170852.8843558984
2639,99702.28865049656
2071,86717.41355429546
1267,134342.35032790664
1851,193731.70748187017
567,173237.18307568438
2439,203184.13479282672
1898,148507.34329077372
647,153012.56573277566
2256,205939.3775844069
979,89344.49560209092
1444,223927.41739446728
2485,134052.56392223277
157,142660.4188680531
88,130268.97837726776
2003,97917.71170934124
186,189744.23603940042
1425,226965.074613891
2695,132825.56686784668
738,115210.4725465891
395,156842.30820324505
1353,158070.51881376945
1878,140389.16267107308
390,154101.2995135205
1456,235893.2981010637
1103,316187.4490975818
1387,136352.27077644452
2070,inf
1199,167664.57057650705
2479,165468.35913615787
501,313769.6264824716
2362,104571.51127667156
1718,195817.40618570996
2188,101819.40449688325
1483,156615.5305564543
2557,87584.12846284763
437,352941.23904451006
2224,205703.25851522924
1628,171993.52875996465
397,138640.83171256195
587,188375.96271254247
971,126676.42085317435
2611,138684.96108685993
1887,102908.9325572134
2399,366972.82078346243
2148,194232.22748663084
304,121862.65396262988
1997,128575.33223190308
2817,133838.99064566882
1431,240717.73830868021
427,353524.51213277015
263,122438.03968807738
598,160827.40540797613
2895,183776.6542660112
687,130553.31544263114
1822,136713.0222372715
2191,112606.82210145607
179,114827.19016380003
1009,185845.664504423
2010,131096.61050859667
1991,152478.35401087863
1411,173339.688169413
1721,210311.427624724
1144,197499.19462371414
593,219187.85501633806
575,347397.9166233432
1249,163936.9013630826
