Id,SalePrice
2658,80953.67617906266
2718,164247.18305462002
2414,217278.8516552944
1989,106980.86479395085
625,179041.2638247
333,93860.96776332334
1327,109098.39801259947
858,145641.70496193838
95,165856.38673474797
1568,151723.40776307887
2482,162580.50806451656
1364,115462.97767779157
2584,138373.72973533167
818,290652.5561412646
2673,130807.42457935445
2089,124077.62336034651
1297,161749.43669462207
790,115651.90808601928
2616,195171.8818312615
720,182634.66230865053
222,158734.9569928988
557,133109.812334371
1148,190060.51983770478
2766,178341.4941382876
534,170568.95322107876
1452,121566.4431126525
630,141761.2450471488
2648,109048.09771237915
125,168124.73317446667
1904,73694.87922378229
1670,118582.69201112547
756,98572.24128124968
717,180098.08015518825
1032,147915.4541987573
852,224690.6100517151
1731,165361.67604471944
2639,107626.84423405257
2071,91360.02919175531
1267,125649.67492575539
1851,193312.5325226067
567,176522.4089059388
2439,207775.15025473534
1898,150039.18761106944
647,137238.18295787403
2256,209602.8481799076
979,94911.06496410344
1444,226012.94576205956
2485,135091.69855987155
157,136999.4050739476
88,128699.81881937134
2003,99993.48568026445
186,159711.77678525855
1425,228563.80281531537
2695,134214.2162942317
738,136297.67440612213
395,151467.2635872899
1353,165283.11098034144
1878,134120.8970743883
390,154799.376806189
1456,236835.0239149271
1103,308462.41261280625
1387,133362.88775371236
2070,142477.23304249905
1199,161691.26615463046
2479,177686.38923665442
501,308495.0651048005
2362,103731.5264662842
1718,192722.26699553512
2188,104469.04068282877
1483,162126.30191504193
2557,96984.86013887051
437,364967.1368188885
2224,196309.25693005527
1628,175283.09207536562
397,142788.61913864737
587,185220.96293025406
971,127564.73479575143
2611,135470.51194558127
1887,104482.52098102367
2399,372791.59320360294
2148,194231.4386012211
304,119502.63186883145
1997,131710.69726871848
2817,135662.86605701887
1431,225290.0533474485
427,365940.3023209903
263,124336.72994394501
598,157126.44135960913
2895,219718.91670582182
687,128665.25998768787
1822,138862.9305561072
2191,107762.7842528934
179,121214.5980218883
1009,197268.46610349262
2010,143125.36126778985
1991,152567.41601715755
1411,169910.94887560856
1721,233701.1591020328
1144,195768.33012270732
593,208197.21981526935
575,331946.32416753063
1249,153792.49495911505
1604,124478.97992566577
1064,519736.78049130784
1923,153793.23339741328
1988,103772.78004201122
2325,178993.77836332173
114,198540.80346048527
2700,164481.51825940475
217,122138.3711713306
343,170414.72391346627
386,212788.53866979087
2005,118261.95941696019
2908,136914.11646975565
